Ciudad,Código TripAdvisor,CODAUTO,CPRO,CMUN,DC,_merge,AllTrails
"Coruña, A",g187507,12,15,030,8,both,"a-coruna, a-coruna"
Albacete,g187486,8,02,003,0,both,"albacete, albacete
Alicante/Alacant,g1064230,10,03,014,9,both,"alicante, alicante"
Almería,g187429,1,04,013,9,both,"almeria, almeria"
Oviedo,g187452,3,33,044,7,both,"asturias, oviedo"
Ávila,g311310,7,05,019,8,both,"avila, avila"
Badajoz,g262058,11,06,015,3,both,"badajoz, badajoz"
Palma ,g187463,4,07,040,7,both,"mallorca, palma"
Barcelona,g187497,9,08,019,3,both,"barcelona, barcelona"
Burgos,g187491,7,09,059,7,both,"burgos, burgos"
Cáceres,g227852,11,10,037,7,both,"caceres, caceres"
Cádiz,g187432,1,11,012,5,both,"cadiz, cadiz"
Santander,g187484,6,39,075,9,both,"cantabria, santander"
Castelló de la Plana,g187522,10,12,040,2,both,"castellon, castello-de-la-plana"
Ciudad Real,g187487,8,13,034,3,both,"ciudad-real, ciudad-real"
Córdoba,g187430,1,14,021,4,both,"cordoba, cordoba"
Cuenca,g262065,8,16,078,3,both,"cuenca, cuenca"
Girona,g187499,9,17,079,2,both,"girona, girona"
Granada,g187441,1,18,087,7,both,"granada, granada"
Guadalajara,g262063,8,19,130,5,both,"guadalajara, guadalajara"
Donostia/San Sebastián,g187457,16,20,069,7,both,"guipuzkoa, san-sebastian"
Huelva,g187442,1,21,041,2,both,"huelva, huelva"
Huesca,g187446,2,22,125,9,both,"huesca, huesca"
Jaén,g315916,1,23,050,3,both,"jaen, jaen"
Logroño,g187513,17,026,89,2,both,"la-rioja, logrono"
"Palmas de Gran Canaria, Las",g187472,5,35,016,7,both,"gran-canaria, las-palmas-de-gran-canaria"
León,g187492,7,24,089,6,both,"leon, leon"
Lleida,g187500,9,25,120,7,both,"lleida, lerida"
Lugo,g609027,12,27,028,8,both,"lugo, lugo"
Madrid,g187514,13,28,079,6,both,"madrid, madrid"
Málaga,g187438,1,29,067,2,both,"malaga, malaga"
Murcia,g187518,14,30,030,8,both,"murcia, murcia"
Pamplona/Iruña,g187520,15,31,201,6,both,"navarre, pamplona"
Ourense,g644337,12,32,054,8,both,"ourense, ourense"
Palencia,g652127,7,34,120,2,both,"palencia, palencia"
Pontevedra,g488307,12,36,038,8,both,"pontevedra, pontevedra"
Salamanca,g187493,7,37,274,5,both,"salamanca, salamanca"
Santa Cruz de Tenerife,g_50670,5,38,038,0,both,"tenerife, santa-cruz-de-tenerife"
Segovia,g187494,7,40,194,5,both,"segovia, segovia"
Sevilla,g187443,1,41,091,7,both,"sevilla, sevilla"
Soria,g488305,7,42,173,6,both,"soria, soria"
Tarragona,g187503,9,43,148,2,both,"tarragona, tarragona"
Teruel,g580279,2,44,216,0,both,"teruel, teruel"
Toledo,g187489,8,45,168,5,both,"toledo, toledo"
València,g187529,10,46,250,8,both,"valencia, valencia"
Valladolid,g187495,7,47,186,8,both,"valladolid, valladolid"
Vitoria-Gasteiz,g187458,16,01,059,0,both,"alava, vitoria-gasteiz"
Zamora,g262064,7,49,275,5,both,"zamora, zamora"
Zaragoza,g187448,2,50,297,3,both,"zaragoza, zaragoza"
